,filename,n-sto,sto-li,ps-pi1,ps-pi2,sn-sto,sn-c,or-pi1,or-pi2,cph-cph,sbal-ls1,sbal-ls2,al-al,ch-ch,go-go,zy-zy,ex-ex,en-en,ex-en,tn-n,tn-gn,n-gn,sn-gn,n-sn,sto-gn,ls-sto,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",DD,EOS,cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,n000001/0099_01.jpg,54.037,6.0,8.944,9.434,14.142,7.071,22.361,21.0,10.05,16.125,13.0,25.179,44.283,62.65,100.603,63.506,25.179,18.974,33.0,112.018,79.025,39.051,40.2,25.0,4.0,0.786,0.399,0.396,0.754,0.484,0.626,0.667,0.44,0.9589999914169312,0.041999999433755875,0.671,0.501,0.495,0.28,0.27,0.272,0.443,0.385,0.382
1,n000001/0062_01.jpg,52.0,6.0,6.403,6.708,18.0,10.05,21.0,20.1,10.0,17.088,17.088,21.0,39.0,67.007,90.05,50.16,24.083,13.0,30.0,110.0,80.0,46.0,34.0,28.0,4.0,0.888,0.418,0.48,0.54,0.504,0.618,0.667,0.433,-1.1089999675750732,0.05400000140070915,0.646,0.543,0.554,0.368,0.313,0.326,0.409,0.393,0.386
2,n000001/0317_01.jpg,16.031,2.236,2.236,2.236,5.099,3.606,6.083,5.385,3.0,4.123,4.123,5.099,9.0,17.117,29.017,11.0,4.0,3.0,15.0,40.112,25.179,14.318,11.0,9.22,2.236,0.868,0.539,0.364,0.75,0.745,0.464,1.0,0.31,1.5110000371932983,0.04500000178813934,0.627,0.43,0.43,0.328,0.28,0.281,0.438,0.39,0.392
3,n000001/0108_02.jpg,45.1,4.0,8.062,8.602,15.133,7.071,16.279,17.0,7.0,10.44,11.662,17.029,33.015,51.01,80.1,51.0,20.0,16.279,28.0,92.195,64.281,34.366,30.017,19.235,7.0,0.803,0.377,0.392,0.814,0.512,0.567,1.75,0.412,0.414000004529953,0.06599999964237213,0.528,0.443,0.442,0.257,0.264,0.269,0.467,0.46,0.459
4,n000001/0053_01.jpg,169.012,25.318,21.932,25.06,52.887,27.313,61.66,61.131,34.366,48.01,44.385,74.33,126.151,222.081,299.808,186.424,78.772,49.092,119.0,389.965,272.265,156.205,116.619,103.368,18.439,0.908,0.465,0.423,0.623,0.479,0.637,0.728,0.421,-0.6769999861717224,0.2549999952316284,0.388,0.426,0.426,0.266,0.241,0.246,0.289,0.298,0.3
5,n000001/0301_01.jpg,82.098,8.062,10.296,10.817,26.077,11.045,25.02,27.019,15.0,25.962,27.731,35.057,57.315,96.083,134.015,80.156,32.14,25.02,42.0,171.105,129.139,73.11,56.036,47.043,4.123,0.964,0.49,0.401,0.778,0.422,0.626,0.511,0.428,1.1519999504089355,0.25699999928474426,0.566,0.618,0.623,0.413,0.367,0.369,0.636,0.441,0.446
6,n000001/0240_01.jpg,112.018,13.038,13.601,13.416,38.053,19.235,42.048,42.012,16.031,31.623,32.016,35.0,58.034,134.451,191.042,109.041,49.01,29.017,66.0,234.053,168.074,94.133,74.0,56.08,11.045,0.88,0.417,0.449,0.592,0.466,0.473,0.847,0.304,0.4449999928474426,0.36500000953674316,0.6,0.523,0.52,0.355,0.28,0.3,0.282,0.272,0.271
7,n000001/0142_01.jpg,95.258,11.045,13.601,14.142,33.015,18.248,42.012,42.107,14.142,30.083,28.46,33.136,55.227,101.203,150.473,88.363,37.216,23.537,57.0,197.307,140.431,78.16,62.29,45.177,7.071,0.933,0.446,0.421,0.632,0.589,0.532,0.64,0.367,0.23399999737739563,0.1550000011920929,0.484,0.387,0.392,0.277,0.262,0.271,0.376,0.346,0.346
8,n000001/0362_03.jpg,122.004,14.0,20.248,18.601,45.277,20.881,49.092,44.011,20.025,24.597,26.926,48.094,89.051,134.837,224.08,131.061,48.01,44.407,81.0,260.325,179.471,103.407,77.104,58.249,26.077,0.801,0.432,0.366,0.925,0.437,0.624,1.863,0.397,0.4339999854564667,0.27300000190734863,0.346,0.416,0.404,0.241,0.203,0.212,0.474,0.345,0.371
9,n000001/0154_01.jpg,40.025,3.606,4.472,5.099,15.133,6.325,14.866,14.56,6.325,11.18,12.166,14.56,23.087,46.573,66.098,33.838,17.72,8.544,20.0,80.231,60.638,35.693,25.0,20.616,5.099,0.917,0.443,0.524,0.482,0.56,0.582,1.414,0.349,1.0,0.008999999612569809,0.716,0.547,0.554,0.32,0.266,0.271,0.443,0.382,0.382
