,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.293,0.053,0.056,0.143,0.158,0.089,0.102,0.053,0.054,0.055,0.066,0.233,0.743,0.51,0.32,0.669,0.428,0.152,0.374,0.192,0.117,0.255,0.741,0.509,0.406,0.57,0.568,0.609,0.298,0.381,0.413,0.356,0.355,0.233,0.178,0.191,0.322,0.256,0.258
1,0.357,0.064,0.055,0.14,0.126,0.082,0.121,0.063,0.035,0.08,0.082,0.217,0.788,0.573,0.343,0.616,0.4,0.119,0.315,0.238,0.105,0.14,0.905,0.557,0.378,0.902,0.5,0.441,0.225,0.227,0.517,0.516,0.507,0.344,0.317,0.33,0.653,0.56,0.564
2,0.329,0.07,0.081,0.122,0.151,0.061,0.094,0.052,0.064,0.06,0.052,0.255,0.764,0.513,0.28,0.645,0.398,0.149,0.404,0.235,0.106,0.22,0.773,0.467,0.369,0.69,0.662,0.451,0.304,0.341,0.399,0.362,0.362,0.33,0.242,0.268,0.42,0.376,0.379
3,0.304,0.067,0.076,0.117,0.121,0.073,0.111,0.033,0.072,0.074,0.067,0.248,0.724,0.477,0.286,0.69,0.437,0.189,0.451,0.195,0.152,0.269,0.672,0.4,0.419,0.563,0.606,0.779,0.504,0.39,0.333,0.288,0.288,0.201,0.195,0.197,0.298,0.234,0.236
4,0.34,0.069,0.064,0.16,0.17,0.066,0.115,0.045,0.055,0.077,0.078,0.186,0.74,0.559,0.336,0.673,0.452,0.153,0.408,0.226,0.108,0.231,0.808,0.491,0.375,0.666,0.588,0.478,0.277,0.343,0.504,0.45,0.457,0.257,0.229,0.247,0.489,0.441,0.444
5,0.372,0.06,0.055,0.166,0.168,0.085,0.135,0.055,0.06,0.077,0.081,0.168,0.783,0.616,0.38,0.622,0.453,0.155,0.369,0.237,0.102,0.257,0.963,0.539,0.42,0.657,0.509,0.43,0.328,0.413,0.504,0.466,0.464,0.292,0.248,0.257,0.396,0.375,0.376
6,0.333,0.067,0.056,0.168,0.168,0.084,0.114,0.051,0.057,0.057,0.054,0.196,0.761,0.576,0.357,0.648,0.465,0.174,0.431,0.219,0.114,0.255,0.865,0.523,0.404,0.689,0.462,0.521,0.386,0.394,0.454,0.436,0.439,0.24,0.222,0.234,0.355,0.341,0.342
7,0.313,0.066,0.073,0.133,0.164,0.058,0.095,0.058,0.064,0.068,0.063,0.236,0.756,0.521,0.303,0.655,0.454,0.156,0.417,0.219,0.102,0.254,0.773,0.458,0.374,0.711,0.565,0.466,0.211,0.388,0.281,0.291,0.295,0.22,0.174,0.192,0.301,0.253,0.254
8,0.313,0.057,0.068,0.14,0.138,0.06,0.083,0.064,0.058,0.067,0.06,0.258,0.758,0.5,0.272,0.652,0.426,0.157,0.388,0.231,0.132,0.235,0.746,0.444,0.405,0.592,0.607,0.571,0.165,0.36,0.32,0.331,0.331,0.203,0.19,0.201,0.39,0.344,0.345
9,0.301,0.057,0.06,0.146,0.133,0.069,0.079,0.053,0.062,0.066,0.058,0.273,0.767,0.494,0.272,0.642,0.427,0.158,0.397,0.223,0.127,0.248,0.748,0.452,0.398,0.622,0.537,0.57,0.194,0.386,0.487,0.435,0.426,0.264,0.234,0.248,0.39,0.331,0.337
10,0.359,0.073,0.061,0.162,0.167,0.073,0.144,0.052,0.058,0.073,0.075,0.219,0.762,0.543,0.329,0.648,0.413,0.145,0.382,0.216,0.099,0.226,0.815,0.448,0.38,0.827,0.504,0.458,0.432,0.349,0.459,0.485,0.491,0.281,0.254,0.266,0.55,0.5,0.503
11,0.324,0.08,0.076,0.131,0.144,0.05,0.081,0.056,0.075,0.073,0.07,0.193,0.723,0.529,0.287,0.691,0.474,0.181,0.467,0.243,0.131,0.299,0.745,0.435,0.388,0.718,0.542,0.539,0.154,0.433,0.428,0.407,0.405,0.297,0.268,0.276,0.392,0.342,0.344
12,0.348,0.074,0.074,0.163,0.144,0.061,0.104,0.041,0.061,0.074,0.084,0.204,0.757,0.553,0.309,0.654,0.47,0.204,0.449,0.245,0.143,0.286,0.823,0.436,0.454,0.544,0.602,0.584,0.277,0.437,0.507,0.382,0.385,0.301,0.288,0.294,0.362,0.292,0.293
13,0.332,0.061,0.052,0.159,0.173,0.073,0.102,0.058,0.059,0.084,0.073,0.201,0.749,0.548,0.318,0.663,0.504,0.203,0.448,0.23,0.116,0.26,0.804,0.429,0.453,0.573,0.438,0.504,0.206,0.392,0.603,0.472,0.473,0.286,0.266,0.275,0.415,0.367,0.365
14,0.295,0.048,0.061,0.124,0.143,0.048,0.078,0.048,0.067,0.067,0.051,0.295,0.771,0.477,0.261,0.637,0.413,0.171,0.39,0.219,0.124,0.266,0.729,0.443,0.438,0.559,0.514,0.566,0.22,0.418,0.526,0.459,0.468,0.302,0.275,0.28,0.376,0.321,0.321
15,0.355,0.06,0.067,0.143,0.164,0.06,0.129,0.048,0.074,0.067,0.049,0.185,0.718,0.539,0.312,0.696,0.452,0.167,0.411,0.23,0.139,0.29,0.753,0.409,0.406,0.627,0.547,0.604,0.538,0.417,0.434,0.399,0.404,0.188,0.181,0.188,0.416,0.35,0.354
