,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.336,0.06,0.062,0.145,0.139,0.064,0.103,0.039,0.051,0.103,0.103,0.26,0.776,0.517,0.284,0.63,0.424,0.16,0.384,0.233,0.115,0.221,0.779,0.427,0.417,0.725,0.526,0.494,0.127,0.351,0.273,0.32,0.32,0.355,0.291,0.3,0.247,0.237,0.238
1,0.389,0.05,0.054,0.126,0.144,0.065,0.151,0.039,0.07,0.098,0.09,0.241,0.776,0.535,0.301,0.631,0.431,0.176,0.378,0.238,0.14,0.255,0.805,0.357,0.466,0.625,0.473,0.588,0.66,0.404,0.537,0.512,0.512,0.289,0.257,0.26,0.414,0.405,0.404
2,0.369,0.072,0.072,0.123,0.123,0.061,0.123,0.041,0.062,0.107,0.107,0.235,0.788,0.554,0.307,0.615,0.431,0.184,0.42,0.246,0.114,0.236,0.855,0.427,0.438,0.668,0.585,0.463,0.258,0.384,0.368,0.399,0.401,0.347,0.293,0.29,0.404,0.376,0.378
3,0.411,0.058,0.065,0.163,0.16,0.069,0.133,0.037,0.061,0.129,0.127,0.187,0.794,0.608,0.329,0.608,0.438,0.176,0.401,0.278,0.146,0.244,0.949,0.45,0.439,0.642,0.544,0.525,0.214,0.401,0.384,0.357,0.357,0.341,0.277,0.277,0.367,0.315,0.315
4,0.362,0.056,0.057,0.149,0.148,0.058,0.128,0.043,0.07,0.095,0.089,0.164,0.748,0.584,0.35,0.664,0.473,0.143,0.383,0.234,0.154,0.271,0.835,0.469,0.373,0.853,0.463,0.658,0.445,0.408,0.416,0.466,0.465,0.263,0.245,0.252,0.351,0.348,0.348
5,0.407,0.062,0.063,0.172,0.169,0.066,0.137,0.058,0.054,0.123,0.126,0.177,0.765,0.589,0.319,0.644,0.448,0.175,0.395,0.27,0.149,0.225,0.868,0.406,0.443,0.634,0.563,0.552,0.211,0.349,0.548,0.455,0.458,0.33,0.277,0.294,0.371,0.32,0.318
6,0.376,0.063,0.059,0.114,0.122,0.059,0.124,0.041,0.057,0.116,0.115,0.203,0.766,0.564,0.312,0.643,0.447,0.195,0.431,0.252,0.131,0.253,0.832,0.421,0.452,0.585,0.535,0.52,0.209,0.393,0.457,0.449,0.456,0.351,0.309,0.317,0.288,0.286,0.289
7,0.35,0.045,0.036,0.112,0.11,0.058,0.122,0.041,0.061,0.063,0.085,0.27,0.801,0.532,0.306,0.599,0.393,0.13,0.31,0.23,0.15,0.24,0.843,0.468,0.419,0.769,0.405,0.652,0.564,0.401,0.466,0.605,0.605,0.167,0.245,0.242,0.777,0.583,0.585
8,0.376,0.056,0.058,0.159,0.151,0.056,0.103,0.041,0.07,0.112,0.104,0.136,0.734,0.598,0.325,0.679,0.479,0.178,0.411,0.273,0.173,0.295,0.836,0.461,0.433,0.68,0.471,0.634,0.177,0.434,0.532,0.416,0.432,0.306,0.267,0.283,0.372,0.328,0.34
9,0.387,0.06,0.055,0.152,0.144,0.072,0.113,0.031,0.053,0.104,0.115,0.198,0.777,0.582,0.309,0.629,0.398,0.164,0.376,0.276,0.136,0.217,0.878,0.492,0.436,0.701,0.5,0.493,0.213,0.345,0.488,0.482,0.487,0.433,0.379,0.394,0.515,0.516,0.52
10,0.324,0.051,0.043,0.156,0.144,0.085,0.097,0.036,0.038,0.102,0.097,0.251,0.792,0.541,0.315,0.611,0.407,0.144,0.335,0.228,0.108,0.18,0.84,0.538,0.43,0.674,0.485,0.474,0.11,0.295,0.612,0.551,0.55,0.325,0.288,0.29,0.39,0.3,0.301
11,0.393,0.061,0.058,0.152,0.147,0.066,0.123,0.048,0.052,0.105,0.109,0.189,0.752,0.563,0.294,0.659,0.455,0.19,0.417,0.27,0.133,0.228,0.81,0.376,0.456,0.647,0.484,0.493,0.261,0.346,0.503,0.459,0.464,0.34,0.283,0.295,0.402,0.319,0.318
12,0.365,0.057,0.049,0.148,0.143,0.058,0.12,0.03,0.049,0.109,0.119,0.27,0.8,0.532,0.287,0.6,0.375,0.148,0.33,0.246,0.123,0.221,0.842,0.448,0.448,0.716,0.5,0.5,0.22,0.368,0.568,0.454,0.455,0.346,0.313,0.325,0.445,0.423,0.422
13,0.405,0.059,0.046,0.144,0.143,0.056,0.12,0.055,0.066,0.104,0.108,0.142,0.745,0.603,0.318,0.668,0.459,0.175,0.383,0.285,0.143,0.23,0.857,0.431,0.457,0.629,0.477,0.502,0.264,0.344,0.786,0.612,0.616,0.38,0.326,0.332,0.479,0.395,0.396
14,0.385,0.054,0.056,0.135,0.135,0.049,0.104,0.049,0.067,0.079,0.079,0.188,0.768,0.581,0.301,0.64,0.426,0.178,0.404,0.281,0.141,0.269,0.861,0.462,0.441,0.663,0.466,0.502,0.33,0.42,0.63,0.516,0.516,0.251,0.238,0.238,0.461,0.408,0.408
15,0.346,0.057,0.055,0.127,0.122,0.053,0.094,0.032,0.053,0.098,0.096,0.205,0.735,0.531,0.279,0.678,0.448,0.198,0.44,0.251,0.111,0.219,0.743,0.413,0.45,0.611,0.463,0.442,0.145,0.323,0.308,0.292,0.292,0.292,0.244,0.263,0.216,0.182,0.188
16,0.315,0.023,0.04,0.094,0.119,0.057,0.102,0.033,0.074,0.09,0.074,0.298,0.792,0.499,0.292,0.611,0.383,0.15,0.335,0.216,0.167,0.304,0.775,0.496,0.448,0.527,0.399,0.773,0.53,0.498,0.714,0.625,0.629,0.193,0.191,0.194,0.28,0.28,0.279
17,0.373,0.045,0.045,0.142,0.147,0.084,0.131,0.042,0.058,0.118,0.113,0.22,0.797,0.577,0.336,0.603,0.447,0.168,0.341,0.242,0.121,0.236,0.908,0.459,0.493,0.565,0.474,0.5,0.244,0.391,0.622,0.503,0.51,0.31,0.261,0.272,0.408,0.356,0.353
18,0.329,0.037,0.033,0.093,0.095,0.076,0.126,0.037,0.071,0.099,0.101,0.273,0.791,0.518,0.317,0.612,0.418,0.172,0.384,0.203,0.146,0.308,0.803,0.457,0.448,0.721,0.282,0.719,0.428,0.503,0.671,0.681,0.68,0.254,0.216,0.22,0.368,0.358,0.361
19,0.367,0.044,0.047,0.138,0.135,0.055,0.128,0.039,0.054,0.114,0.117,0.26,0.797,0.544,0.305,0.604,0.426,0.16,0.339,0.239,0.124,0.217,0.855,0.415,0.472,0.562,0.506,0.519,0.262,0.359,0.503,0.424,0.425,0.301,0.265,0.274,0.242,0.24,0.244
