,filename,n-sto,sto-li,ps-pi1,ps-pi2,sn-sto,sn-c,or-pi1,or-pi2,cph-cph,sbal-ls1,sbal-ls2,al-al,ch-ch,go-go,zy-zy,ex-ex,en-en,ex-en,tn-n,tn-gn,n-gn,sn-gn,n-sn,sto-gn,ls-sto,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",DD,EOS,cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,n000001same/14751.jpg,128.062,17.0,21.932,18.439,41.049,24.739,52.038,49.0,16.279,33.838,35.114,42.297,70.456,140.161,210.086,126.321,55.082,40.0,104.0,287.111,183.175,97.015,87.207,56.294,13.0,0.872,0.402,0.436,0.726,0.505,0.485,0.765,0.335,-0.5759999752044678,0.2639999985694885,0.665,0.608,0.613,0.431,0.393,0.407,0.67,0.582,0.584
1,n000001same/21701.jpg,119.269,14.142,20.591,19.105,38.013,19.105,48.374,46.271,17.117,35.44,33.242,41.195,78.409,144.586,200.442,129.402,52.469,40.522,55.0,234.617,179.805,98.509,81.302,60.671,9.055,0.897,0.42,0.405,0.772,0.49,0.507,0.64,0.391,0.21199999749660492,0.27799999713897705,0.589,0.53,0.53,0.398,0.36,0.373,0.575,0.521,0.522
2,n000001same/09326.jpg,116.52,16.125,21.024,19.209,35.228,16.279,47.854,45.011,17.117,31.321,29.967,42.048,69.26,126.57,188.664,132.544,55.227,41.485,63.0,225.282,162.779,81.786,81.302,46.84,11.045,0.863,0.37,0.417,0.751,0.485,0.517,0.685,0.367,0.18799999356269836,0.2280000001192093,0.639,0.57,0.577,0.427,0.367,0.381,0.59,0.552,0.555
3,n000001same/09226.jpg,113.004,13.038,17.804,15.62,35.014,20.881,46.098,44.102,12.042,29.732,30.676,37.054,54.148,116.349,182.011,102.122,45.011,32.558,71.0,234.617,163.884,86.683,78.0,52.498,11.045,0.9,0.451,0.441,0.723,0.513,0.475,0.847,0.297,-0.460999995470047,0.23399999737739563,0.711,0.637,0.64,0.432,0.431,0.443,0.695,0.617,0.618
4,n000001same/06626.jpg,124.788,15.133,21.471,19.105,37.216,21.19,51.788,47.381,18.028,34.205,32.696,43.105,75.24,144.222,211.603,130.115,56.436,41.485,94.0,276.322,183.003,95.525,87.573,58.464,10.198,0.865,0.405,0.434,0.735,0.489,0.492,0.674,0.356,-0.289000004529953,0.2809999883174896,0.65,0.577,0.582,0.452,0.391,0.406,0.666,0.615,0.62
5,n000001same/09601.jpg,117.209,13.0,15.62,14.422,39.0,21.213,45.011,44.0,16.125,29.967,29.833,38.328,63.506,127.738,187.182,114.355,51.088,35.0,74.0,241.002,167.003,89.202,78.313,50.359,15.033,0.892,0.394,0.447,0.685,0.429,0.489,1.156,0.339,-0.7680000066757202,0.2809999883174896,0.727,0.62,0.628,0.419,0.376,0.388,0.588,0.527,0.529
6,n000001same/15726.jpg,114.158,14.0,20.518,19.105,37.054,21.213,45.1,45.011,17.0,33.838,32.985,37.014,63.032,131.137,182.275,126.016,54.0,39.051,58.0,226.002,168.003,91.049,77.104,54.231,8.062,0.922,0.414,0.429,0.723,0.507,0.48,0.576,0.346,-0.3050000071525574,0.3230000138282776,0.602,0.519,0.523,0.417,0.374,0.387,0.504,0.467,0.466
7,n000001same/04901.jpg,132.378,18.248,21.954,20.518,46.011,19.416,51.624,49.497,18.111,37.363,35.114,41.304,70.711,143.136,206.652,132.197,53.935,41.761,54.0,242.825,189.061,102.591,86.47,56.886,16.031,0.915,0.397,0.408,0.774,0.509,0.478,0.879,0.342,0.25200000405311584,0.2809999883174896,0.597,0.518,0.519,0.389,0.331,0.347,0.642,0.575,0.578
8,n000001same/02451.jpg,131.244,18.111,20.0,18.439,41.304,20.881,49.01,49.82,17.029,33.956,35.777,44.0,70.007,152.0,247.202,127.098,56.0,39.051,131.0,321.972,191.638,102.391,90.05,61.4,13.038,0.775,0.404,0.441,0.697,0.492,0.489,0.72,0.283,0.08500000089406967,0.2939999997615814,0.675,0.599,0.602,0.424,0.374,0.391,0.614,0.549,0.55
9,n000001same/00226.jpg,104.48,12.042,21.213,19.723,30.0,18.111,44.0,42.19,15.524,30.463,32.894,44.407,68.066,129.553,202.2,127.279,52.469,40.012,65.0,214.114,149.164,75.06,74.673,45.1,5.099,0.738,0.348,0.412,0.763,0.512,0.595,0.423,0.337,-0.3490000069141388,0.2150000035762787,0.611,0.549,0.555,0.409,0.391,0.401,0.503,0.45,0.452
