,filename,n-sto,sto-li,ps-pi1,ps-pi2,sn-sto,sn-c,or-pi1,or-pi2,cph-cph,sbal-ls1,sbal-ls2,al-al,ch-ch,go-go,zy-zy,ex-ex,en-en,ex-en,tn-n,tn-gn,n-gn,sn-gn,n-sn,sto-gn,ls-sto,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",DD,EOS,cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,chosen/n001781/0449_01.jpg,25.02,3.0,4.472,5.0,4.0,4.0,10.05,11.045,6.0,5.831,5.831,11.0,21.095,37.054,53.0,32.016,14.0,9.22,27.0,68.007,41.012,20.1,21.024,16.125,1.0,0.774,0.435,0.437,0.659,0.514,0.523,0.333,0.398,0.5080000162124634,0.0560000017285347,0.521,0.458,0.458,0.362,0.322,0.328,0.34,0.326,0.328
1,chosen/n001781/0094_01.jpg,31.064,3.0,5.657,5.0,10.05,6.0,13.038,12.042,7.0,6.403,6.325,12.042,22.023,41.195,55.227,34.015,15.0,10.0,18.0,68.029,50.04,29.017,21.024,19.0,6.0,0.906,0.461,0.441,0.667,0.533,0.573,2.0,0.399,-0.17399999499320984,0.16699999570846558,0.439,0.435,0.436,0.346,0.3,0.299,0.452,0.439,0.441
2,chosen/n001781/0323_01.jpg,90.554,9.22,13.454,15.264,23.409,19.723,27.166,27.203,19.105,25.0,22.204,34.059,66.272,116.43,173.026,102.313,45.177,26.0,59.0,205.879,147.231,79.831,68.029,56.719,4.123,0.851,0.487,0.442,0.576,0.552,0.501,0.447,0.383,-0.7839999794960022,0.2669999897480011,0.543,0.493,0.493,0.409,0.381,0.381,0.526,0.464,0.464
3,chosen/n001781/0313_01.jpg,29.275,5.0,3.162,2.0,8.062,7.616,9.055,8.062,5.0,6.708,8.062,14.318,18.248,40.162,61.0,28.16,12.042,10.198,26.0,77.058,51.088,30.067,21.587,22.023,3.0,0.838,0.548,0.428,0.847,0.253,0.663,0.6,0.299,0.10000000149011612,0.2800000011920929,0.765,0.76,0.76,0.329,0.31,0.309,0.569,0.555,0.554
4,chosen/n001781/0270_02.jpg,53.141,6.325,8.062,8.246,13.038,9.434,20.125,20.616,11.402,13.454,12.042,23.087,42.72,73.348,104.547,67.357,30.364,18.439,31.0,115.447,85.703,45.31,40.522,32.573,4.243,0.82,0.444,0.451,0.607,0.442,0.57,0.671,0.409,0.4790000021457672,0.3370000123977661,0.398,0.366,0.382,0.277,0.253,0.268,0.273,0.277,0.277
5,chosen/n001781/0077_01.jpg,77.647,5.385,11.18,10.63,25.08,11.18,29.017,26.926,17.117,14.318,14.866,29.275,64.498,109.179,142.042,87.824,39.319,24.739,50.0,175.923,126.289,73.682,52.612,48.662,16.031,0.889,0.446,0.448,0.629,0.441,0.556,2.977,0.454,1.0199999809265137,0.35100001096725464,0.565,0.531,0.543,0.287,0.26,0.268,0.451,0.439,0.44
6,chosen/n001781/0097_01.jpg,255.155,29.614,36.77,36.878,78.772,36.497,87.298,81.394,57.559,48.301,46.69,104.393,219.203,333.618,485.499,293.471,125.766,84.172,128.0,521.584,395.072,218.689,176.4,140.036,49.497,0.814,0.42,0.429,0.669,0.437,0.592,1.671,0.452,0.2540000081062317,0.4390000104904175,0.315,0.288,0.287,0.156,0.141,0.143,0.204,0.193,0.193
7,chosen/n001781/0060_01.jpg,55.444,7.071,7.81,8.062,14.56,10.296,22.561,24.331,9.22,14.213,13.342,21.095,35.128,76.007,111.162,61.522,28.16,16.031,53.0,143.892,91.411,50.695,41.11,36.139,4.123,0.822,0.475,0.458,0.569,0.495,0.513,0.583,0.316,0.11299999803304672,0.375,0.618,0.553,0.552,0.38,0.325,0.338,0.371,0.34,0.34
8,chosen/n001781/0219_01.jpg,63.953,7.071,12.806,13.601,19.647,10.77,26.926,27.459,12.166,12.042,11.18,19.235,42.755,87.207,119.08,71.847,28.443,20.025,49.0,150.083,101.607,57.271,44.407,37.656,11.18,0.853,0.432,0.396,0.704,0.659,0.433,1.581,0.359,-0.43700000643730164,0.18400000035762787,0.408,0.395,0.394,0.327,0.272,0.277,0.37,0.35,0.349
9,chosen/n001781/0054_01.jpg,59.54,6.325,8.544,7.81,14.036,8.062,23.195,22.361,14.142,11.662,10.63,25.318,55.444,88.119,115.412,71.847,32.388,19.647,29.0,126.89,98.153,52.612,45.541,38.639,7.071,0.85,0.438,0.451,0.607,0.416,0.556,1.118,0.48,-0.1469999998807907,0.16500000655651093,0.666,0.585,0.583,0.318,0.299,0.304,0.51,0.502,0.501
10,chosen/n001781/0011_01.jpg,159.113,15.033,23.431,23.854,46.174,22.091,62.394,60.008,31.016,33.287,31.78,59.008,115.017,214.037,285.175,185.097,83.054,51.157,64.0,316.31,252.389,139.517,113.018,93.343,24.021,0.885,0.436,0.449,0.616,0.462,0.522,1.598,0.403,0.3499999940395355,0.5820000171661377,0.356,0.322,0.327,0.229,0.201,0.206,0.228,0.225,0.223
11,chosen/n001781/0235_01.jpg,80.056,7.0,10.63,12.042,27.166,18.974,29.017,29.017,13.0,19.698,18.028,28.071,50.16,108.046,156.627,85.024,37.014,21.095,64.0,192.003,128.004,75.326,53.339,48.166,11.045,0.817,0.446,0.435,0.57,0.537,0.526,1.578,0.32,0.05000000074505806,0.5419999957084656,0.609,0.495,0.492,0.36,0.3,0.305,0.5,0.491,0.486
12,chosen/n001781/0237_01.jpg,20.881,2.236,2.828,3.0,4.472,4.243,5.385,6.325,4.123,5.0,4.123,9.22,17.464,32.249,43.932,24.739,10.44,7.071,21.0,54.918,34.482,18.028,16.492,13.601,1.414,0.785,0.422,0.422,0.677,0.412,0.559,0.632,0.398,2.815000057220459,0.039000000804662704,0.677,0.56,0.561,0.32,0.306,0.31,0.396,0.373,0.372
13,chosen/n001781/0203_01.jpg,58.694,7.28,9.22,9.487,15.232,9.434,17.72,19.313,13.342,14.213,13.038,22.361,43.932,92.655,129.437,69.635,34.928,18.028,62.0,157.003,96.302,52.811,43.738,37.643,5.099,0.744,0.406,0.502,0.516,0.519,0.511,0.7,0.339,0.35199999809265137,0.20600000023841858,0.545,0.481,0.484,0.343,0.307,0.314,0.333,0.326,0.321
14,chosen/n001781/0160_01.jpg,97.082,9.487,14.765,15.62,36.222,18.028,33.541,39.051,19.105,18.682,18.601,31.575,68.066,124.92,171.563,96.338,42.426,25.71,90.0,243.731,154.742,93.904,61.131,57.706,22.091,0.902,0.462,0.44,0.606,0.591,0.517,2.329,0.397,0.04899999871850014,0.18299999833106995,0.436,0.4,0.401,0.287,0.204,0.214,0.352,0.342,0.342
