,filename,n-sto,sto-li,ps-pi1,ps-pi2,sn-sto,sn-c,or-pi1,or-pi2,cph-cph,sbal-ls1,sbal-ls2,al-al,ch-ch,go-go,zy-zy,ex-ex,en-en,ex-en,tn-n,tn-gn,n-gn,sn-gn,n-sn,sto-gn,ls-sto,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",DD,EOS,cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,chosensame/same1781/scene00526.png,128.082,15.297,18.974,16.401,33.526,19.235,41.437,35.903,25.179,26.249,29.0,54.452,91.548,166.108,247.588,149.626,67.897,42.202,88.0,289.914,203.18,108.669,94.895,75.186,14.56,0.821,0.453,0.454,0.622,0.419,0.574,0.952,0.37,-0.625,0.6100000143051147,0.698,0.682,0.684,0.408,0.378,0.385,0.737,0.739,0.738
1,chosensame/same1781/scene03251.png,127.063,15.033,18.601,18.028,33.377,18.974,41.11,37.216,22.0,30.676,33.287,50.0,86.093,166.973,244.131,146.014,65.0,41.195,101.0,303.134,202.2,108.462,94.005,75.166,9.0,0.828,0.45,0.445,0.634,0.445,0.532,0.599,0.353,-0.3799999952316284,0.6069999933242798,0.669,0.638,0.644,0.465,0.421,0.43,0.582,0.58,0.579
2,chosensame/same1781/scene03036.png,123.102,16.031,17.493,16.155,30.265,19.925,41.049,36.014,21.095,29.547,32.249,50.359,81.744,166.373,247.073,145.674,63.285,43.012,98.0,298.002,200.002,107.466,93.434,77.233,7.0,0.809,0.464,0.434,0.68,0.391,0.539,0.437,0.331,-0.07599999755620956,0.6380000114440918,0.648,0.681,0.684,0.429,0.403,0.412,0.532,0.52,0.516
3,chosensame/same1781/scene00826.png,129.437,15.297,17.692,17.72,35.355,16.125,37.216,34.713,24.739,27.019,27.514,50.22,90.25,170.062,243.403,147.299,67.268,41.304,89.0,289.884,201.718,107.787,94.149,72.443,16.279,0.829,0.426,0.457,0.614,0.429,0.533,1.064,0.371,-0.16899999976158142,0.6370000243186951,0.617,0.61,0.614,0.368,0.346,0.352,0.447,0.454,0.453
4,chosensame/same1781/scene02841.png,123.004,15.0,15.232,16.553,29.0,17.029,41.304,38.118,25.0,27.785,27.295,50.01,89.006,180.025,244.074,151.013,68.007,41.304,83.0,284.016,201.022,107.019,94.005,78.026,10.0,0.824,0.433,0.45,0.607,0.385,0.532,0.667,0.365,0.020999999716877937,0.5559999942779541,0.722,0.696,0.697,0.438,0.395,0.405,0.544,0.544,0.542
5,chosensame/same1781/scene02571.png,120.839,16.279,15.62,14.56,29.069,18.439,40.311,35.228,24.739,22.804,25.495,50.695,89.022,171.453,251.098,140.812,63.151,41.437,98.0,297.054,199.572,108.167,91.984,79.101,13.342,0.795,0.461,0.448,0.656,0.364,0.551,0.82,0.355,-0.16599999368190765,0.5820000171661377,0.688,0.652,0.657,0.368,0.343,0.351,0.495,0.48,0.48
6,chosensame/same1781/scene03216.png,124.145,15.033,18.028,17.493,32.757,19.698,40.608,35.228,22.0,29.411,32.45,51.039,83.054,166.433,247.073,145.014,65.031,41.11,96.0,298.543,202.8,111.629,92.005,78.918,9.055,0.821,0.474,0.448,0.632,0.432,0.555,0.602,0.336,-0.656000018119812,0.5590000152587891,0.703,0.659,0.661,0.464,0.415,0.424,0.642,0.629,0.628
7,chosensame/same1781/scene01716.png,126.151,17.117,19.799,17.088,35.014,19.925,43.186,37.216,24.515,24.413,27.785,52.173,90.244,163.322,243.772,143.377,60.017,45.177,73.0,276.463,203.63,113.018,91.782,78.006,17.029,0.835,0.478,0.419,0.753,0.408,0.568,0.995,0.37,-0.11599999666213989,0.6380000114440918,0.582,0.592,0.594,0.359,0.341,0.348,0.489,0.48,0.476
8,chosensame/same1781/scene03221.png,122.262,16.031,18.358,16.643,30.806,20.591,40.792,36.346,20.025,30.083,33.015,51.0,86.006,164.596,246.008,148.014,64.008,44.181,99.0,298.811,200.212,109.041,92.005,78.262,6.083,0.814,0.475,0.432,0.69,0.396,0.554,0.379,0.35,-0.5460000038146973,0.5889999866485596,0.717,0.674,0.676,0.453,0.424,0.432,0.623,0.607,0.603
9,chosensame/same1781/scene02926.png,126.921,15.524,18.385,18.974,36.125,16.0,40.2,36.674,24.739,25.807,28.231,48.27,91.214,172.2,242.217,152.191,68.25,42.19,113.0,312.642,200.569,109.772,91.005,73.682,17.263,0.828,0.428,0.448,0.618,0.443,0.53,1.112,0.377,-0.31200000643730164,0.5540000200271606,0.59,0.564,0.57,0.376,0.345,0.352,0.435,0.438,0.437
10,chosensame/same1781/scene00186.png,120.702,15.033,19.105,18.385,28.0,17.117,40.012,37.483,21.095,28.178,29.967,48.508,82.201,169.331,242.124,148.492,66.37,41.11,90.0,285.253,195.369,103.005,92.914,75.007,6.325,0.807,0.443,0.447,0.619,0.456,0.522,0.421,0.339,-0.10599999874830246,0.5839999914169312,0.599,0.59,0.591,0.456,0.422,0.432,0.444,0.444,0.443
11,chosensame/same1781/scene02816.png,125.036,12.042,15.232,15.232,31.0,18.0,42.012,40.112,21.0,32.696,31.78,47.043,81.056,174.233,242.297,146.086,65.031,39.205,83.0,287.044,204.061,110.018,94.048,79.025,6.0,0.842,0.454,0.445,0.603,0.389,0.5,0.498,0.335,-0.1899999976158142,0.5490000247955322,0.76,0.727,0.73,0.493,0.46,0.469,0.564,0.565,0.563
12,chosensame/same1781/scene02891.png,125.766,14.318,19.105,19.313,33.136,17.029,41.437,39.294,23.537,26.627,27.857,48.052,90.244,174.416,243.971,151.99,70.036,41.304,113.0,309.362,197.145,104.58,92.763,71.449,13.153,0.808,0.41,0.461,0.59,0.465,0.518,0.919,0.37,-0.2849999964237213,0.5460000038146973,0.599,0.581,0.585,0.416,0.375,0.383,0.442,0.44,0.44
13,chosensame/same1781/scene02881.png,124.149,14.318,17.692,17.464,32.249,17.0,42.579,39.812,23.537,27.203,27.857,49.82,87.321,175.171,245.359,151.01,70.036,41.304,79.0,276.632,198.283,106.569,91.984,74.33,12.369,0.808,0.424,0.464,0.59,0.426,0.542,0.864,0.356,-0.2160000056028366,0.5180000066757202,0.613,0.597,0.599,0.414,0.378,0.388,0.45,0.445,0.445
14,chosensame/same1781/scene03041.png,129.062,17.0,18.028,17.0,37.216,18.385,39.115,35.0,23.087,26.401,30.529,50.249,88.685,163.169,245.717,146.492,64.195,44.0,98.0,303.002,205.002,113.217,92.347,76.059,16.0,0.834,0.466,0.438,0.685,0.398,0.544,0.941,0.361,-0.014000000432133675,0.6129999756813049,0.719,0.673,0.672,0.393,0.357,0.364,0.536,0.522,0.521
15,chosensame/same1781/scene02976.png,145.121,14.036,19.799,17.088,55.009,20.881,44.181,39.319,28.636,25.239,28.653,53.367,99.925,166.337,246.976,143.377,64.938,42.19,98.0,326.345,228.493,139.058,91.005,84.054,36.014,0.925,0.505,0.453,0.65,0.437,0.586,2.566,0.405,-0.46700000762939453,0.4970000088214874,0.611,0.591,0.595,0.307,0.267,0.275,0.499,0.481,0.48
16,chosensame/same1781/scene00876.png,121.655,15.297,19.105,18.974,28.16,17.117,38.013,34.928,23.345,29.155,31.385,49.82,85.147,174.195,245.791,150.443,67.897,42.19,91.0,286.184,195.735,102.396,93.557,74.243,6.708,0.796,0.426,0.451,0.621,0.451,0.533,0.439,0.346,-0.16699999570846558,0.6570000052452087,0.616,0.602,0.607,0.422,0.399,0.409,0.441,0.45,0.448
17,chosensame/same1781/scene01401.png,132.22,16.492,23.601,21.932,36.497,19.235,59.228,50.804,22.804,26.907,27.893,50.0,93.408,173.22,247.421,150.283,65.253,42.202,127.0,335.276,209.659,114.127,95.802,77.647,17.117,0.847,0.448,0.434,0.647,0.539,0.522,1.038,0.378,0.03500000014901161,0.6470000147819519,0.488,0.516,0.517,0.357,0.329,0.334,0.394,0.398,0.396
18,chosensame/same1781/scene03441.png,128.39,14.142,19.105,19.698,36.0,16.125,42.012,38.21,20.224,26.42,29.069,49.366,86.145,175.414,246.71,154.302,70.349,42.012,116.0,322.397,206.62,114.158,92.542,78.23,15.033,0.838,0.446,0.456,0.597,0.462,0.533,1.063,0.349,-0.8090000152587891,0.5210000276565552,0.624,0.596,0.599,0.429,0.382,0.39,0.469,0.465,0.465
19,chosensame/same1781/scene02681.png,128.472,15.033,17.029,14.318,39.115,19.313,46.098,43.012,24.331,24.187,26.926,48.662,87.132,169.293,252.517,133.222,63.388,37.054,122.0,329.184,207.292,118.038,90.094,79.0,22.0,0.821,0.467,0.476,0.585,0.423,0.54,1.463,0.345,-0.3230000138282776,0.5040000081062317,0.69,0.658,0.664,0.354,0.327,0.333,0.517,0.509,0.511
20,chosensame/same1781/scene01016.png,118.229,16.125,17.029,16.492,26.0,18.439,39.205,34.234,23.537,24.698,30.017,52.173,87.321,171.959,247.935,146.113,63.348,44.407,97.0,290.558,193.838,102.005,92.574,76.007,8.544,0.782,0.442,0.434,0.701,0.377,0.564,0.53,0.352,-0.10700000077486038,0.6779999732971191,0.623,0.643,0.645,0.404,0.389,0.399,0.487,0.487,0.485
21,chosensame/same1781/scene00841.png,126.696,19.235,18.385,17.464,34.525,17.029,39.459,36.401,20.616,31.623,32.016,48.052,78.16,173.22,249.904,149.683,68.25,42.579,93.0,291.872,199.745,107.787,92.195,73.335,10.44,0.799,0.423,0.456,0.624,0.421,0.521,0.543,0.313,-0.18000000715255737,0.6539999842643738,0.612,0.611,0.611,0.405,0.375,0.385,0.424,0.429,0.429
22,chosensame/same1781/scene02686.png,130.188,17.029,20.0,16.553,39.205,19.723,47.096,42.048,22.361,23.707,27.459,48.508,88.284,164.685,253.16,139.918,62.394,43.012,86.0,292.002,206.002,115.434,91.662,76.236,21.024,0.814,0.463,0.446,0.689,0.425,0.529,1.235,0.349,-0.5270000100135803,0.49399998784065247,0.675,0.636,0.641,0.369,0.338,0.346,0.493,0.479,0.475
