,"ex-en,en-en","ls-sto,sto-li",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.617,0.14800000000000002,0.42200000000000004,0.41100000000000003,0.414,0.307,0.266,0.28600000000000003,0.322,0.319,0.321
1,0.6559999999999999,0.21100000000000002,0.581,0.466,0.48200000000000004,0.281,0.244,0.267,0.426,0.365,0.369
2,0.7120000000000001,0.35200000000000004,0.382,0.33899999999999997,0.35100000000000003,0.21100000000000002,0.19699999999999998,0.204,0.19,0.2,0.2
3,0.7190000000000001,0.17300000000000001,0.322,0.276,0.287,0.226,0.203,0.214,0.17600000000000002,0.16699999999999998,0.168
4,0.6970000000000001,0.139,0.264,0.242,0.242,0.16699999999999998,0.15,0.161,0.24600000000000002,0.21899999999999997,0.225
5,0.675,0.413,0.426,0.37,0.376,0.179,0.172,0.185,0.409,0.364,0.37200000000000005
6,0.711,0.166,0.47100000000000003,0.382,0.391,0.248,0.222,0.23399999999999999,0.5660000000000001,0.52,0.521
7,0.75,0.35600000000000004,0.623,0.532,0.536,0.244,0.263,0.264,0.44,0.40299999999999997,0.397
8,0.7659999999999999,0.509,0.524,0.467,0.466,0.249,0.226,0.23399999999999999,0.402,0.379,0.38299999999999995
9,0.637,0.48200000000000004,0.43,0.35600000000000004,0.364,0.242,0.226,0.23199999999999998,0.607,0.517,0.521
10,0.7070000000000001,0.6970000000000001,0.541,0.44,0.457,0.22899999999999998,0.188,0.21100000000000002,0.478,0.43700000000000006,0.446
11,0.6629999999999999,0.35200000000000004,0.406,0.361,0.361,0.203,0.21100000000000002,0.21600000000000003,0.24,0.235,0.237
12,0.638,0.47100000000000003,0.5670000000000001,0.48700000000000004,0.485,0.239,0.228,0.235,0.47200000000000003,0.442,0.444
13,0.619,0.503,0.38799999999999996,0.33799999999999997,0.34700000000000003,0.168,0.154,0.162,0.374,0.33799999999999997,0.345
14,0.649,0.379,0.435,0.38299999999999995,0.387,0.244,0.226,0.233,0.297,0.295,0.293
15,0.6629999999999999,0.384,0.581,0.47,0.473,0.301,0.248,0.259,0.43799999999999994,0.386,0.389
16,0.6729999999999999,0.518,0.228,0.294,0.28800000000000003,0.19399999999999998,0.171,0.179,0.17800000000000002,0.19,0.191
17,0.598,0.496,0.626,0.47,0.473,0.233,0.23600000000000002,0.24,0.40700000000000003,0.359,0.36
18,0.6759999999999999,0.433,0.69,0.526,0.534,0.201,0.225,0.22399999999999998,0.384,0.314,0.317
19,0.71,0.509,0.6,0.466,0.474,0.33,0.287,0.29,0.564,0.513,0.515
20,0.726,0.136,0.496,0.377,0.396,0.21100000000000002,0.193,0.203,0.409,0.355,0.36200000000000004
21,0.6559999999999999,0.155,0.48700000000000004,0.402,0.401,0.303,0.252,0.27,0.455,0.428,0.43
22,0.61,0.452,0.467,0.366,0.366,0.226,0.209,0.213,0.37,0.34,0.33899999999999997
23,0.599,0.355,0.483,0.42,0.43200000000000005,0.24,0.226,0.235,0.387,0.361,0.363
24,0.55,0.285,0.593,0.40700000000000003,0.41100000000000003,0.33899999999999997,0.304,0.305,0.35200000000000004,0.33299999999999996,0.33899999999999997
25,0.6579999999999999,0.45299999999999996,0.7,0.525,0.525,0.243,0.218,0.223,0.574,0.518,0.517
26,0.48200000000000004,0.49700000000000005,0.792,0.5770000000000001,0.58,0.27699999999999997,0.243,0.253,0.397,0.317,0.317
27,0.764,0.215,0.47700000000000004,0.426,0.429,0.345,0.271,0.287,0.519,0.47600000000000003,0.478
28,0.78,0.381,0.605,0.478,0.479,0.187,0.19399999999999998,0.20199999999999999,0.501,0.478,0.478
29,0.635,0.435,0.6659999999999999,0.535,0.5660000000000001,0.23600000000000002,0.225,0.233,0.528,0.467,0.484
30,0.6859999999999999,0.191,0.475,0.35700000000000004,0.361,0.316,0.262,0.27899999999999997,0.297,0.299,0.3
31,0.7040000000000001,0.491,0.486,0.409,0.413,0.249,0.222,0.225,0.327,0.307,0.306
32,0.599,0.16699999999999998,0.585,0.47600000000000003,0.47600000000000003,0.318,0.262,0.28300000000000003,0.40299999999999997,0.369,0.369
33,0.659,0.17800000000000002,0.5589999999999999,0.45899999999999996,0.461,0.28,0.24600000000000002,0.262,0.408,0.353,0.353
34,0.638,0.474,0.556,0.45899999999999996,0.461,0.222,0.225,0.235,0.45899999999999996,0.423,0.42200000000000004
35,0.66,0.14300000000000002,0.5429999999999999,0.46299999999999997,0.466,0.315,0.29,0.303,0.418,0.389,0.385
36,0.619,0.408,0.68,0.53,0.529,0.262,0.24100000000000002,0.244,0.47100000000000003,0.413,0.419
37,0.632,0.254,0.623,0.45899999999999996,0.473,0.23,0.217,0.23399999999999999,0.486,0.419,0.415
38,0.733,0.469,0.541,0.47600000000000003,0.485,0.28600000000000003,0.235,0.255,0.47700000000000004,0.42100000000000004,0.42700000000000005
39,0.7240000000000001,0.442,0.611,0.409,0.414,0.247,0.237,0.23800000000000002,0.41200000000000003,0.365,0.365
40,0.624,0.301,0.363,0.301,0.311,0.195,0.174,0.193,0.22,0.214,0.213
41,0.855,0.242,0.633,0.485,0.48700000000000004,0.285,0.262,0.264,0.43200000000000005,0.41100000000000003,0.41200000000000003
42,0.664,0.40399999999999997,0.48700000000000004,0.39299999999999996,0.39799999999999996,0.27,0.242,0.259,0.341,0.318,0.318
43,0.6779999999999999,0.46,0.612,0.46299999999999997,0.46299999999999997,0.21899999999999997,0.212,0.215,0.54,0.49,0.485
44,0.653,0.696,0.49700000000000005,0.38299999999999995,0.39,0.258,0.19699999999999998,0.209,0.455,0.424,0.428
45,0.629,0.23199999999999998,0.491,0.387,0.39799999999999996,0.307,0.22699999999999998,0.263,0.43200000000000005,0.34299999999999997,0.35
46,0.6729999999999999,0.18600000000000003,0.447,0.389,0.39299999999999996,0.27699999999999997,0.23199999999999998,0.249,0.306,0.271,0.271
47,0.693,0.145,0.496,0.461,0.465,0.275,0.255,0.272,0.455,0.40399999999999997,0.41
48,0.7,0.188,0.42,0.40299999999999997,0.40399999999999997,0.312,0.28600000000000003,0.311,0.275,0.273,0.273
49,0.696,0.424,0.478,0.41200000000000003,0.41700000000000004,0.21100000000000002,0.17600000000000002,0.18600000000000003,0.327,0.299,0.303
50,0.6990000000000001,0.11599999999999999,0.534,0.42200000000000004,0.44,0.311,0.27,0.297,0.40700000000000003,0.382,0.386
51,0.738,0.158,0.44299999999999995,0.363,0.371,0.289,0.24100000000000002,0.263,0.26,0.263,0.261
52,0.581,0.636,0.48,0.382,0.38299999999999995,0.254,0.22899999999999998,0.23600000000000002,0.475,0.45299999999999996,0.455
53,0.5820000000000001,0.40399999999999997,0.6,0.48,0.48100000000000004,0.161,0.17,0.17800000000000002,0.374,0.306,0.305
54,0.603,0.18100000000000002,0.493,0.377,0.382,0.32899999999999996,0.285,0.297,0.24600000000000002,0.225,0.22899999999999998
55,0.636,0.503,0.34600000000000003,0.282,0.29,0.193,0.188,0.18899999999999997,0.212,0.17300000000000001,0.175
56,0.747,0.5479999999999999,0.585,0.506,0.512,0.22899999999999998,0.209,0.21600000000000003,0.547,0.503,0.502
57,0.6509999999999999,0.185,0.5870000000000001,0.45,0.44299999999999995,0.275,0.233,0.256,0.506,0.46799999999999997,0.469
58,0.675,0.127,0.491,0.469,0.48200000000000004,0.276,0.242,0.255,0.34,0.322,0.32899999999999996
59,0.575,0.439,0.6509999999999999,0.535,0.537,0.273,0.23800000000000002,0.251,0.35600000000000004,0.314,0.322
60,0.647,0.231,0.47700000000000004,0.401,0.40299999999999997,0.257,0.233,0.249,0.243,0.253,0.252
61,0.48700000000000004,0.647,0.632,0.547,0.547,0.195,0.191,0.192,0.574,0.515,0.514
62,0.7120000000000001,0.127,0.423,0.35,0.363,0.261,0.225,0.245,0.39399999999999996,0.33899999999999997,0.348
63,0.546,0.499,0.44799999999999995,0.373,0.37799999999999995,0.22399999999999998,0.204,0.213,0.247,0.239,0.23800000000000002
64,0.8440000000000001,0.43,0.612,0.521,0.518,0.183,0.18600000000000003,0.18600000000000003,0.413,0.36200000000000004,0.358
65,0.687,0.18600000000000003,0.527,0.43200000000000005,0.44299999999999995,0.298,0.26899999999999996,0.295,0.40399999999999997,0.375,0.38
66,0.715,0.13,0.49200000000000005,0.414,0.425,0.332,0.298,0.31,0.32,0.32299999999999995,0.324
67,0.642,0.322,0.41700000000000004,0.35600000000000004,0.354,0.22,0.205,0.215,0.259,0.23600000000000002,0.23600000000000002
68,0.762,0.17300000000000001,0.418,0.33,0.335,0.299,0.247,0.268,0.436,0.39799999999999996,0.39899999999999997
69,0.5670000000000001,0.259,0.5660000000000001,0.521,0.522,0.261,0.25,0.255,0.4,0.382,0.382
70,0.75,0.145,0.5,0.40700000000000003,0.413,0.3,0.244,0.266,0.37799999999999995,0.33399999999999996,0.337
71,0.669,0.18,0.565,0.44299999999999995,0.456,0.29600000000000004,0.259,0.275,0.44299999999999995,0.433,0.436
72,0.7959999999999999,0.198,0.41600000000000004,0.397,0.395,0.261,0.244,0.25,0.34600000000000003,0.32,0.322
73,0.757,0.509,0.523,0.433,0.43200000000000005,0.244,0.222,0.231,0.306,0.294,0.292
74,0.5720000000000001,0.259,0.526,0.391,0.38799999999999996,0.32299999999999995,0.264,0.278,0.4,0.35600000000000004,0.35600000000000004
75,0.589,0.183,0.606,0.469,0.475,0.242,0.22399999999999998,0.233,0.282,0.26899999999999996,0.267
76,0.6409999999999999,0.13699999999999998,0.509,0.39799999999999996,0.40700000000000003,0.304,0.28300000000000003,0.302,0.392,0.371,0.373
77,0.598,0.29100000000000004,0.6579999999999999,0.529,0.527,0.255,0.243,0.253,0.36,0.32,0.324
78,0.56,0.42,0.6459999999999999,0.48200000000000004,0.488,0.218,0.196,0.20600000000000002,0.35100000000000003,0.29600000000000004,0.297
79,0.738,0.311,0.665,0.546,0.5489999999999999,0.35100000000000003,0.3,0.31,0.6709999999999999,0.622,0.62
80,0.494,0.171,0.461,0.366,0.368,0.265,0.226,0.245,0.248,0.22,0.222
81,0.628,0.55,0.573,0.52,0.521,0.243,0.223,0.23199999999999998,0.4,0.363,0.373
82,0.69,0.14800000000000002,0.445,0.409,0.41200000000000003,0.31,0.28800000000000003,0.295,0.359,0.34700000000000003,0.349
83,0.6709999999999999,0.138,0.466,0.42100000000000004,0.42,0.37,0.255,0.28,0.386,0.33399999999999996,0.331
84,0.527,0.183,0.561,0.435,0.439,0.302,0.261,0.267,0.266,0.247,0.24600000000000002
85,0.49,0.254,0.528,0.406,0.41,0.29,0.27899999999999997,0.285,0.293,0.258,0.262
86,0.722,0.446,0.49700000000000005,0.436,0.43799999999999994,0.23399999999999999,0.201,0.221,0.506,0.46,0.467
87,0.649,0.168,0.6609999999999999,0.5,0.505,0.307,0.276,0.278,0.315,0.287,0.285
88,0.669,0.201,0.479,0.376,0.377,0.287,0.25,0.264,0.369,0.336,0.34
89,0.48200000000000004,0.39299999999999996,0.502,0.48200000000000004,0.48200000000000004,0.276,0.239,0.247,0.43,0.38299999999999995,0.392
90,0.772,0.14300000000000002,0.535,0.43,0.439,0.22,0.20199999999999999,0.214,0.537,0.46799999999999997,0.47200000000000003
91,0.679,0.40700000000000003,0.545,0.494,0.49700000000000005,0.259,0.23399999999999999,0.244,0.44299999999999995,0.414,0.414
92,0.662,0.165,0.41,0.36700000000000005,0.371,0.23399999999999999,0.21,0.22399999999999998,0.314,0.303,0.301
93,0.64,0.442,0.462,0.363,0.366,0.187,0.18600000000000003,0.192,0.41,0.325,0.327
94,0.616,0.2,0.499,0.39399999999999996,0.39799999999999996,0.308,0.225,0.263,0.273,0.265,0.266
95,0.711,0.595,0.348,0.368,0.365,0.20600000000000002,0.187,0.18899999999999997,0.33399999999999996,0.303,0.306
96,0.6509999999999999,0.127,0.563,0.46,0.47200000000000003,0.34600000000000003,0.32299999999999995,0.32899999999999996,0.46799999999999997,0.439,0.43700000000000006
97,0.73,0.13,0.514,0.42200000000000004,0.445,0.27899999999999997,0.24600000000000002,0.263,0.33399999999999996,0.32299999999999995,0.324
98,0.7509999999999999,0.40700000000000003,0.389,0.39799999999999996,0.39899999999999997,0.233,0.226,0.222,0.312,0.287,0.282
99,0.68,0.353,0.687,0.596,0.61,0.285,0.20600000000000002,0.22,0.535,0.419,0.424
100,0.63,0.379,0.478,0.379,0.397,0.24600000000000002,0.21899999999999997,0.248,0.278,0.256,0.257
101,0.665,0.46399999999999997,0.474,0.433,0.436,0.196,0.193,0.203,0.598,0.586,0.586
102,0.706,0.317,0.5660000000000001,0.455,0.457,0.2,0.19699999999999998,0.20600000000000002,0.6920000000000001,0.662,0.6629999999999999
103,0.667,0.6659999999999999,0.8490000000000001,0.585,0.579,0.247,0.193,0.209,0.33399999999999996,0.307,0.305
104,0.679,0.396,0.504,0.419,0.42,0.24,0.225,0.23800000000000002,0.40399999999999997,0.38299999999999995,0.385
105,0.652,0.514,0.505,0.44,0.451,0.217,0.18899999999999997,0.205,0.49,0.426,0.429
106,0.536,0.259,0.636,0.561,0.562,0.284,0.265,0.271,0.45899999999999996,0.42100000000000004,0.42100000000000004
107,0.5379999999999999,0.40700000000000003,0.521,0.465,0.467,0.179,0.182,0.184,0.5479999999999999,0.51,0.511
108,0.6729999999999999,0.265,1.0,1.0,1.0,0.171,0.18899999999999997,0.188,0.49700000000000005,0.381,0.382
109,0.778,0.10300000000000001,0.396,0.342,0.359,0.262,0.228,0.253,0.324,0.298,0.299
110,0.649,0.7509999999999999,0.782,0.419,0.439,0.345,0.317,0.317,0.307,0.25,0.252
111,0.691,0.192,0.509,0.41,0.415,0.319,0.278,0.292,0.327,0.3,0.302
112,0.569,0.37,0.688,0.547,0.5479999999999999,0.221,0.222,0.225,0.679,0.662,0.6629999999999999
113,0.5770000000000001,0.254,0.465,0.401,0.39899999999999997,0.354,0.299,0.301,0.254,0.243,0.244
114,0.659,0.11199999999999999,0.519,0.434,0.452,0.307,0.262,0.294,0.326,0.305,0.309
115,0.753,0.665,0.43,0.358,0.363,0.268,0.20600000000000002,0.22399999999999998,0.325,0.303,0.304
116,0.73,0.207,0.528,0.41,0.41,0.21899999999999997,0.204,0.217,0.396,0.34700000000000003,0.35100000000000003
117,0.628,0.198,0.441,0.373,0.37200000000000005,0.272,0.24600000000000002,0.258,0.335,0.292,0.293
118,0.6509999999999999,0.198,0.418,0.40299999999999997,0.41,0.344,0.272,0.29,0.563,0.52,0.528
119,0.609,0.22899999999999998,0.542,0.42200000000000004,0.428,0.28,0.239,0.264,0.591,0.521,0.521
120,0.6809999999999999,0.42100000000000004,0.743,0.562,0.579,0.228,0.21100000000000002,0.213,0.516,0.441,0.444
121,0.6779999999999999,0.381,0.42700000000000005,0.368,0.37200000000000005,0.217,0.207,0.215,0.252,0.254,0.253
122,0.733,0.733,0.556,0.433,0.45799999999999996,0.23399999999999999,0.183,0.212,0.45299999999999996,0.413,0.423
123,0.672,0.384,0.619,0.47200000000000003,0.474,0.21600000000000003,0.215,0.225,0.474,0.425,0.431
124,0.713,0.17,0.49700000000000005,0.391,0.395,0.272,0.253,0.26,0.34,0.295,0.299
125,0.777,0.6809999999999999,0.5489999999999999,0.475,0.496,0.23,0.188,0.205,0.41700000000000004,0.379,0.379
126,0.675,0.58,0.272,0.368,0.365,0.214,0.179,0.193,0.21100000000000002,0.218,0.215
127,0.5710000000000001,0.182,0.5329999999999999,0.447,0.45299999999999996,0.39899999999999997,0.301,0.311,0.295,0.29100000000000004,0.295
128,0.6920000000000001,0.156,0.513,0.435,0.444,0.302,0.242,0.266,0.39,0.355,0.35700000000000004
129,0.807,0.311,0.374,0.336,0.337,0.237,0.209,0.223,0.39299999999999996,0.36200000000000004,0.366
130,0.6829999999999999,0.125,0.56,0.45899999999999996,0.462,0.324,0.295,0.308,0.41100000000000003,0.37200000000000005,0.374
131,0.604,0.138,0.485,0.39399999999999996,0.392,0.25,0.231,0.235,0.465,0.40299999999999997,0.40299999999999997
132,0.917,0.35,0.825,0.6659999999999999,0.664,0.342,0.302,0.302,0.711,0.595,0.602
133,0.652,0.452,0.6729999999999999,0.38299999999999995,0.384,0.16899999999999998,0.151,0.157,0.303,0.273,0.275
134,0.779,0.139,0.418,0.35200000000000004,0.365,0.268,0.23600000000000002,0.258,0.267,0.259,0.261
135,0.675,0.342,0.69,0.561,0.5770000000000001,0.255,0.233,0.243,0.381,0.35700000000000004,0.364
136,0.667,0.599,0.465,0.361,0.369,0.20199999999999999,0.17300000000000001,0.18100000000000002,0.294,0.28300000000000003,0.284
137,0.605,0.201,0.418,0.368,0.371,0.198,0.18,0.187,0.254,0.244,0.244
138,0.701,0.35,0.478,0.418,0.415,0.284,0.242,0.26899999999999996,0.386,0.344,0.349
139,0.695,0.396,0.43700000000000006,0.35200000000000004,0.358,0.187,0.17800000000000002,0.18600000000000003,0.243,0.24,0.237
140,0.624,0.366,0.446,0.371,0.373,0.20600000000000002,0.192,0.2,0.23600000000000002,0.24100000000000002,0.24100000000000002
141,0.669,0.153,0.233,0.20800000000000002,0.21,0.22699999999999998,0.168,0.18100000000000002,0.11800000000000001,0.124,0.125
142,0.727,0.14,0.451,0.369,0.375,0.209,0.19399999999999998,0.205,0.47100000000000003,0.452,0.451
143,0.659,0.14800000000000002,0.583,0.531,0.532,0.413,0.406,0.406,0.457,0.441,0.44
144,0.6809999999999999,0.18899999999999997,0.696,0.56,0.5660000000000001,0.28600000000000003,0.255,0.268,0.292,0.28,0.282
145,0.529,0.436,0.69,0.5379999999999999,0.54,0.185,0.18100000000000002,0.184,0.574,0.509,0.51
146,0.6809999999999999,0.22,0.467,0.395,0.39299999999999996,0.33299999999999996,0.29100000000000004,0.305,0.445,0.419,0.42
147,0.65,0.192,0.47600000000000003,0.354,0.35600000000000004,0.23600000000000002,0.237,0.243,0.26899999999999996,0.24,0.247
148,0.618,0.153,0.48200000000000004,0.40399999999999997,0.402,0.315,0.268,0.28800000000000003,0.36700000000000005,0.34299999999999997,0.33899999999999997
149,0.584,0.581,0.439,0.41,0.414,0.192,0.172,0.18,0.34600000000000003,0.332,0.332
150,0.5720000000000001,0.301,0.304,0.263,0.272,0.145,0.149,0.157,0.212,0.203,0.207
151,0.596,0.489,0.373,0.314,0.321,0.183,0.157,0.16699999999999998,0.24,0.23399999999999999,0.23399999999999999
152,0.682,0.174,0.541,0.442,0.442,0.35600000000000004,0.27,0.295,0.312,0.29,0.29
153,0.68,0.318,0.599,0.45299999999999996,0.456,0.278,0.263,0.265,0.565,0.51,0.515
154,0.715,0.168,0.521,0.396,0.406,0.29600000000000004,0.271,0.28,0.249,0.228,0.23
155,0.55,0.502,0.528,0.415,0.42200000000000004,0.18,0.17300000000000001,0.18100000000000002,0.24600000000000002,0.22399999999999998,0.226
156,0.7040000000000001,0.336,0.514,0.41200000000000003,0.41600000000000004,0.249,0.212,0.22899999999999998,0.309,0.29,0.293
157,0.616,0.063,0.677,0.47600000000000003,0.479,0.25,0.23,0.23600000000000002,0.45399999999999996,0.42700000000000005,0.431
158,0.708,0.127,0.439,0.353,0.358,0.24,0.226,0.231,0.23199999999999998,0.239,0.235
159,0.701,0.11800000000000001,0.509,0.40399999999999997,0.409,0.243,0.21899999999999997,0.231,0.46,0.452,0.45299999999999996
160,0.6609999999999999,0.162,0.44,0.384,0.387,0.33299999999999996,0.3,0.314,0.47700000000000004,0.43799999999999994,0.442
161,0.608,0.254,0.546,0.44799999999999995,0.45299999999999996,0.198,0.217,0.22,0.473,0.41600000000000004,0.41600000000000004
162,0.6559999999999999,0.155,0.44,0.385,0.386,0.311,0.28300000000000003,0.298,0.41700000000000004,0.379,0.382
163,0.556,0.15,0.502,0.423,0.44,0.24100000000000002,0.23199999999999998,0.256,0.5710000000000001,0.529,0.535
164,0.614,0.41100000000000003,0.536,0.43,0.441,0.222,0.20199999999999999,0.212,0.45399999999999996,0.382,0.395
165,0.659,0.10099999999999999,0.525,0.444,0.447,0.361,0.303,0.312,0.4,0.385,0.385
166,0.556,0.47700000000000004,0.67,0.461,0.473,0.22899999999999998,0.22699999999999998,0.228,0.331,0.318,0.322
167,0.762,0.282,0.495,0.45299999999999996,0.45799999999999996,0.426,0.341,0.345,0.531,0.502,0.5
168,0.684,0.179,0.47100000000000003,0.397,0.401,0.271,0.242,0.254,0.426,0.395,0.395
169,0.687,0.324,0.574,0.465,0.47100000000000003,0.24100000000000002,0.21100000000000002,0.226,0.462,0.426,0.425
170,0.723,0.254,0.429,0.38,0.381,0.276,0.255,0.271,0.424,0.402,0.40299999999999997
171,0.6679999999999999,0.122,0.5710000000000001,0.457,0.46,0.27699999999999997,0.271,0.278,0.282,0.265,0.267
172,0.779,0.28600000000000003,0.486,0.473,0.47600000000000003,0.23800000000000002,0.217,0.237,0.595,0.5870000000000001,0.589
173,0.727,0.127,0.5589999999999999,0.40399999999999997,0.40299999999999997,0.302,0.268,0.276,0.305,0.29100000000000004,0.292
174,0.6940000000000001,0.384,0.32799999999999996,0.284,0.28600000000000003,0.163,0.156,0.163,0.205,0.198,0.19699999999999998
175,0.619,0.386,0.552,0.445,0.455,0.264,0.249,0.254,0.541,0.496,0.498
176,0.6559999999999999,0.45299999999999996,0.434,0.361,0.361,0.20600000000000002,0.195,0.201,0.235,0.235,0.23399999999999999
177,0.711,0.469,0.588,0.508,0.515,0.218,0.213,0.22,0.555,0.5329999999999999,0.534
178,0.611,0.23,0.41200000000000003,0.322,0.32899999999999996,0.23800000000000002,0.217,0.22899999999999998,0.192,0.16699999999999998,0.16699999999999998
179,0.672,0.355,0.449,0.373,0.389,0.221,0.218,0.225,0.27699999999999997,0.257,0.273
180,0.71,0.254,0.525,0.431,0.433,0.33899999999999997,0.32,0.327,0.431,0.409,0.40700000000000003
181,0.725,0.289,0.593,0.483,0.485,0.401,0.355,0.361,0.5720000000000001,0.529,0.531
182,0.6779999999999999,0.35100000000000003,0.473,0.386,0.389,0.222,0.20600000000000002,0.21600000000000003,0.264,0.257,0.256
183,0.6759999999999999,0.988,0.598,0.48,0.488,0.218,0.196,0.21,0.456,0.40700000000000003,0.41200000000000003
184,0.6579999999999999,0.324,0.35600000000000004,0.319,0.326,0.151,0.152,0.153,0.287,0.256,0.26
185,0.6559999999999999,0.157,0.45,0.391,0.402,0.308,0.23800000000000002,0.262,0.304,0.255,0.261
186,0.6890000000000001,0.183,0.354,0.292,0.29,0.191,0.16399999999999998,0.183,0.401,0.365,0.371
187,0.589,0.45399999999999996,0.55,0.495,0.499,0.243,0.24,0.24100000000000002,0.48100000000000004,0.46299999999999997,0.466
188,0.606,0.43,0.583,0.444,0.447,0.231,0.215,0.226,0.522,0.52,0.521
189,0.733,0.171,0.495,0.42100000000000004,0.428,0.31,0.276,0.29,0.371,0.336,0.33799999999999997
190,0.6579999999999999,0.439,0.34600000000000003,0.289,0.287,0.201,0.18100000000000002,0.191,0.156,0.161,0.163
