,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.401,0.064,0.075,0.143,0.157,0.062,0.137,0.066,0.081,0.104,0.099,0.143,0.723,0.582,0.318,0.69,0.455,0.211,0.472,0.264,0.177,0.306,0.791,0.4,0.447,0.583,0.565,0.67,0.215,0.443,0.519,0.563,0.566,0.271,0.313,0.329,0.731,0.699,0.697
1,0.418,0.052,0.056,0.156,0.163,0.062,0.163,0.067,0.072,0.093,0.093,0.193,0.768,0.576,0.321,0.64,0.415,0.203,0.437,0.255,0.168,0.273,0.844,0.381,0.465,0.542,0.491,0.659,0.351,0.427,0.621,0.634,0.636,0.259,0.293,0.306,0.548,0.51,0.508
2,0.379,0.067,0.065,0.144,0.156,0.061,0.139,0.066,0.068,0.091,0.092,0.245,0.784,0.539,0.299,0.621,0.403,0.193,0.435,0.24,0.16,0.252,0.814,0.397,0.444,0.622,0.55,0.667,0.266,0.406,0.513,0.578,0.583,0.301,0.323,0.34,0.556,0.521,0.52
3,0.353,0.076,0.077,0.138,0.15,0.064,0.098,0.05,0.071,0.096,0.096,0.224,0.737,0.514,0.259,0.676,0.477,0.201,0.478,0.256,0.175,0.278,0.713,0.338,0.421,0.667,0.571,0.684,0.134,0.411,0.457,0.527,0.534,0.399,0.398,0.401,0.401,0.391,0.388
4,0.384,0.067,0.071,0.126,0.147,0.061,0.129,0.072,0.064,0.095,0.097,0.193,0.748,0.556,0.301,0.664,0.407,0.191,0.445,0.255,0.162,0.242,0.785,0.425,0.429,0.623,0.58,0.635,0.194,0.364,0.51,0.561,0.564,0.294,0.336,0.353,0.423,0.409,0.405
5,0.371,0.06,0.06,0.159,0.166,0.072,0.121,0.061,0.06,0.089,0.093,0.208,0.769,0.565,0.315,0.639,0.414,0.192,0.442,0.25,0.168,0.251,0.829,0.469,0.434,0.604,0.517,0.672,0.22,0.393,0.528,0.548,0.552,0.318,0.342,0.357,0.418,0.397,0.395
6,0.338,0.062,0.07,0.112,0.132,0.062,0.11,0.061,0.063,0.094,0.091,0.28,0.788,0.509,0.282,0.615,0.39,0.179,0.415,0.228,0.156,0.264,0.777,0.444,0.431,0.62,0.595,0.684,0.157,0.429,0.497,0.541,0.546,0.303,0.338,0.351,0.425,0.434,0.43
7,0.31,0.067,0.067,0.158,0.158,0.04,0.097,0.054,0.07,0.057,0.049,0.289,0.751,0.463,0.25,0.66,0.42,0.19,0.452,0.214,0.144,0.252,0.659,0.364,0.42,0.663,0.532,0.673,0.359,0.382,0.536,0.56,0.567,0.349,0.339,0.338,0.497,0.471,0.468
8,0.366,0.063,0.065,0.157,0.164,0.06,0.108,0.071,0.076,0.087,0.088,0.225,0.765,0.54,0.283,0.645,0.423,0.203,0.456,0.257,0.169,0.272,0.785,0.411,0.445,0.606,0.52,0.658,0.171,0.422,0.584,0.587,0.592,0.301,0.319,0.336,0.467,0.449,0.448
9,0.351,0.057,0.062,0.143,0.157,0.063,0.116,0.062,0.058,0.091,0.091,0.279,0.794,0.516,0.28,0.608,0.383,0.182,0.406,0.236,0.152,0.24,0.796,0.433,0.448,0.571,0.572,0.644,0.183,0.395,0.531,0.562,0.564,0.29,0.326,0.341,0.479,0.454,0.453
