PCA ''Diff.'' Dataset Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows,,,
,0.0000,1.0000,2.0000,3.0000,4.0000,5.0000,6.0000,7.0000,8.0000,9.0000,10.0000,11.0000,12.0000,13.0000,14.0000,15.0000,16.0000,17.0000,18.0000,19.0000,20.0000,21.0000,22.0000,23.0000,24.0000,25.0000,26.0000,27.0000,28.0000,29.0000,32.0000,33.0000,34.0000,35.0000,36.0000,37.0000,38.0000,39.0000,40.0000,Average,,
0.0000,0.012576856342585008,0.010304313463247616,0.016729312059095114,0.0029815334494326384,0.010305802141349948,0.0027944576971706946,0.006555587661702368,0.0015580716552054733,0.0026914214902285026,0.006151282114412861,0.0003727946578209347,-0.0268585586193369,-0.01646243238508673,0.014459767210181083,0.00799620042768819,0.020262239844430867,0.013865330797926784,0.008108124040397876,0.037852060222954335,0.006208666553846372,0.008603565256368885,0.019261471998924303,-0.004220827344772817,-0.01244895109300579,-0.022199420754687588,-0.03183368684629949,0.1261650284555205,0.02186168065100228,0.02934761379931249,0.018798263259077564,-0.4086219704765583,-0.3202837457458102,-0.32232900342970483,-0.13994586177495913,-0.12350982762610191,-0.12388585780977138,-0.45316147104262067,-0.41755619936904825,-0.41564098117250536,#DIV/0!,,
1.0000,0.015612390070219426,-0.008841041476466666,-0.004628046222725168,-0.02034267600678419,-0.024853693991174097,0.006527644211335115,0.05324095820226485,-0.005362048102914893,0.012866795636204227,-0.039295754586445596,-0.0358058968995112,-0.003453273599674942,0.007950926526967331,0.011775464022469928,0.05055897403085682,-0.009942477417362457,-0.022804989209433062,-0.022449257325361356,-0.029523236523259014,-0.03695866418865954,0.010192688532492897,0.034250001287413824,0.03252220730231899,0.020876740201616714,-0.02631427032451555,0.09179539511448463,-0.04872430462866321,0.13080767167910032,0.9055861149131018,0.059654435651177125,-0.09730496680976522,-0.003126606588897858,-0.007502142644029524,-0.18796694663590605,-0.16343595410765108,-0.16927710162439927,0.11530397568073732,0.09439833342654678,0.09560366588814904,#DIV/0!,,
2.0000,-0.024797012492210863,0.04289897826859193,0.03518417606724202,0.0003459158671406115,-0.004893467158597231,0.005165434573822791,-0.01713729049914911,0.00712514329944075,-0.020477650897232733,-0.015933163778072613,-0.008483446247220191,0.0661064523611635,0.009494522906248885,-0.05424576428338283,-0.04508565663389245,-0.013161004383340998,-0.05129258030984794,-0.021093587365209436,0.03420434223974032,-0.007464404075856743,-0.03245659514173983,-0.051018607942658785,-0.06301897514353734,-0.007776889612783826,-0.09985334194159254,0.36447668896596436,0.15797798075291256,-0.11781042135578292,-0.13659539764041725,-0.07354070567367749,-0.5684407054999597,-0.2781476333420029,-0.28504286076797175,0.06055822356113599,0.05185439264487112,0.05382485857963648,0.3361120734166054,0.2865987234782051,0.2859149929687972,#DIV/0!,,
3.0000,-0.015050472503625074,-0.014941335378637954,0.003013983081294155,-0.01812220800043142,-0.002540512321810323,0.035369703781501866,0.0361171222172228,-0.013395682741231707,-0.04463205933532566,0.0021635693345045115,-0.0004277252704231096,0.11522971503678153,0.1163724316030383,0.0029098455360206596,0.0552526144836026,-0.14433640292143612,-0.13348057654437262,-0.058439157957462955,-0.20346624771719635,-0.050048110812542755,-0.10315721703225395,-0.1929633729624426,0.19785234112547737,0.19378218792284238,0.08303690165079794,-0.42292484367605665,0.5027686213378572,-0.31278612701274955,0.22036397818749448,-0.2222344876266206,-0.0016361602936807913,-0.03661158593655689,-0.03901533483318434,0.2579862037282106,0.15466456450628954,0.16110354559524426,0.010849320791322455,-0.011375460719074647,-0.0136258029320963,#DIV/0!,,
4.0000,-0.21207768389031875,-0.025375174310643067,-0.029024884095288694,-0.06950595391750444,-0.06303431788972857,-0.010407661992130002,-0.08233284392546181,-0.027127215874624994,-0.04767533498072868,-0.07940717064934126,-0.07334258225112394,0.42753055836331877,0.09355870496483228,-0.3262304364640406,-0.19314740077347706,-0.11920032156124202,-0.2080728919791273,-0.13145520817596243,-0.2028657874396265,-0.12785939721388448,-0.06750589792458025,-0.13843676939259866,-0.3296678231399248,-0.031037312310338117,-0.11679972177251262,0.3545621419012691,-0.09370206118131279,0.015267085960504344,0.08782431792961555,-0.15010517689790337,0.034269232345965316,0.14440150638569385,0.1335134793177132,0.08806766867458861,0.1004214769987799,0.09380650011224764,-0.21429223862306473,-0.12530714849627023,-0.12450914958984045,#DIV/0!,,
5.0000,0.17329694655620634,0.0417004216759832,0.024736375490745893,0.1207335369750212,0.10053570499943776,0.039830169564442325,0.08921847068191313,0.004028626955356645,-0.019143721257765534,0.04612970427636301,0.06020470039541259,-0.23874274695995212,-0.026617629597153313,0.1995925824967592,0.11365686695211237,0.03401430294782043,0.08605531183544195,-0.004791144599346395,0.10087070425945564,0.08173460647974629,-0.02937318596607102,-0.06803025570985424,0.25491571419239456,-0.03669471488449701,-0.13576891888712977,0.55395833450676,-0.10540125686931583,-0.3114610434596459,0.17473252091257382,-0.12745723574534054,0.1426360347329676,0.014968516168300073,0.017799987208005404,0.3256864205725883,0.16896201132542543,0.17720872081638603,-0.11935685776099904,-0.1378012375380085,-0.13852273284050934,#DIV/0!,,
6.0000,-0.03399134763059886,-0.035559655112200036,-0.05152643846681761,-0.030987129018748005,-0.03117435889266129,0.040601395857903566,0.007821083476369922,0.02044089614677201,-0.017460091386131,-0.01350204636864405,0.0027048662101183396,0.10115177616441018,0.18565288298768726,0.09367121605431158,0.13798825078586474,-0.23144810048712833,-0.19454161373295373,-0.09746817480688456,-0.20541684832768556,-0.04014766304001303,-0.025332356360265474,-0.08948288312543123,0.452637680225247,0.5189860921532866,-0.026365895689326856,0.18274912555485517,-0.2374335245981737,-0.01477097571186802,-0.21083757919523474,-0.006958192998556491,0.0030981932298160173,0.008429868249254686,0.012081217007680346,-0.2393456146460484,-0.20584640180494573,-0.20200648020861256,0.09699149427326878,-0.048554665513778475,-0.05113767674449497,#DIV/0!,,
7.0000,0.060851374684293955,0.03543019983876054,0.029581384641007527,0.034036048587939835,0.03229263593837739,-0.028118986285635236,0.005538175591893735,0.037813828938300015,-0.02469530944492772,-0.01730478329377838,-0.025430213984795114,0.014032254459489746,-0.03637584197527449,-0.04426808957385564,-0.09807029942762735,0.0447203888418328,-0.05712676028114692,-0.03994297611830503,-0.049032588628736475,0.056776630989252376,-0.027455099222747567,-0.07151677860845143,-0.12350325149467128,-0.17811426676949538,-0.049894538937029234,0.18580328137231725,0.3408487478074717,-0.2667843366728216,-0.05779622118282826,-0.143711590589492,0.559094036831778,-0.229410339239279,-0.21776072977891003,-0.31475403338570074,-0.2663080640349001,-0.26752794698452265,0.07939348768131728,0.021291270463424255,0.0204326965959018,#DIV/0!,,
8.0000,0.04674081837388783,-0.04691896618219409,-0.06266651818787809,-0.022198562668599063,-0.040447675562314794,0.005422289386177864,0.027919730536771437,0.0023485463367101667,-0.03920566513988651,0.0009631261332994911,0.02448455355486852,0.006751888153386537,-0.026666638705046125,-0.02719238414135894,-0.045553291122529205,0.034050034362967906,0.04319064110556141,0.048303093502730425,-0.026769614554655603,0.01626188644644392,-0.12351470477158283,-0.18476874786245256,-0.08197848294135039,-0.2192086217795947,0.16491451037653182,-0.260386517430575,-0.5717895927657088,-0.5400231775280523,0.031678654313245236,-0.3066751727498922,-0.17459834892844253,-0.00602550140847663,-0.00587267969296032,-0.11364741859202354,-0.10104325284235077,-0.09358098142279736,0.02561193568242704,0.019351501389346555,0.020959608436553798,#DIV/0!,,
